age	value
0.0	10.883333206176758
0.1	10.016666412353516
0.2	9.866666793823242
0.3	9.933333396911621
0.4	10.716666221618652
0.5	10.966667175292969
0.6	10.75
0.7	10.449999809265137
0.8	11.183333396911621
0.9	11.15000057220459
1.0	11.266666412353516
1.1	10.866666793823242
1.2	11.616665840148926
1.3	10.933333396911621
1.4	10.966667175292969
1.5	11.34999942779541
1.6	12.483332633972168
1.7	11.816666603088379
1.8	12.166666984558105
1.9	11.949999809265137
2.0	10.800000190734863
2.1	11.25
2.2	11.75
2.3	11.683333396911621
2.4	11.199999809265137
2.5	11.699999809265137
2.6	11.666666984558105
2.7	12.033333778381348
2.8	12.25
2.9	12.733333587646484
3.0	12.800000190734863
3.1	12.583333015441895
3.2	12.383333206176758
3.3	12.416666030883789
3.4	12.149999618530273
3.5	12.716666221618652
3.6	12.550000190734863
3.7	12.416666984558105
3.8	12.383332252502441
3.9	13.083333015441895
4.0	12.633333206176758
4.1	12.533333778381348
4.2	12.800000190734863
4.3	12.550000190734863
4.4	12.983332633972168
4.5	12.733332633972168
4.6	13.166666984558105
4.7	13.166666984558105
4.8	12.683333396911621
4.9	12.566666603088379
5.0	13.299999237060547
5.1	12.866665840148926
5.2	12.600000381469727
5.3	13.166666030883789
5.4	13.033332824707031
5.5	13.133333206176758
5.6	13.233333587646484
5.7	13.166666030883789
5.8	13.633333206176758
5.9	13.84999942779541
6.0	14.066666603088379
6.1	13.600000381469727
6.2	13.183334350585938
6.3	13.199999809265137
6.4	13.616666793823242
6.5	14.0
6.6	13.550000190734863
6.7	13.966667175292969
6.8	13.933333396911621
6.9	13.866666793823242
7.0	13.600000381469727
7.1	13.316666603088379
7.2	13.699999809265137
7.3	13.633332252502441
7.4	13.966666221618652
7.5	13.833333015441895
7.6	14.033332824707031
7.7	14.949999809265137
7.8	14.300000190734863
7.9	14.0
8.0	13.75
8.1	12.75
8.2	13.016667366027832
8.3	13.549999237060547
8.4	13.466667175292969
8.5	12.916666984558105
8.6	13.25
8.7	13.25
8.8	14.100000381469727
8.9	13.899999618530273
9.0	14.233333587646484
9.1	13.40000057220459
9.2	14.59999942779541
9.3	11.233333587646484
9.4	11.449999809265137
9.5	11.15000057220459
9.6	11.783333778381348
9.7	11.033332824707031
9.8	11.600000381469727
9.9	11.033333778381348
10.0	10.966666221618652
10.1	10.949999809265137
10.2	11.116666793823242
10.3	9.75
10.4	9.75
10.5	9.766666412353516
10.6	9.949999809265137
10.7	9.783333778381348
10.8	9.783333778381348
10.9	10.116666793823242
11.0	9.866666793823242
11.1	9.600000381469727
11.2	9.666666984558105
11.3	9.533333778381348
11.4	7.5
11.5	7.550000190734863
11.6	7.316666603088379
11.7	6.916666507720947
11.8	6.550000190734863
11.9	6.433333396911621
12.0	6.599999904632568
12.1	6.400000095367432
12.2	5.633333683013916
12.3	6.0333333015441895
12.4	6.266666889190674
12.5	6.266666889190674
12.6	6.200000286102295
12.7	6.350000381469727
12.8	6.433333396911621
12.9	6.616666316986084
13.0	7.483333110809326
13.1	7.766666412353516
13.2	7.383333206176758
13.3	7.249999523162842
13.4	6.849999904632568
13.5	6.949999809265137
13.6	6.933333396911621
13.7	6.983333587646484
13.8	6.883333683013916
13.9	6.316666603088379
14.0	5.549999713897705
14.1	5.900000095367432
14.2	6.900000095367432
14.3	8.766666412353516
14.4	9.216667175292969
14.5	7.316666603088379
14.6	5.25
14.7	4.0333333015441895
14.8	3.5333333015441895
14.9	3.799999952316284
15.0	3.700000047683716
15.1	3.316666603088379
15.2	3.5
15.3	3.200000047683716
15.4	2.950000047683716
15.5	2.933333396911621
15.6	2.6000001430511475
15.7	2.4000000953674316
15.8	2.3333332538604736
15.9	2.383333444595337
16.0	1.7333332300186157
16.1	1.8666667938232422
16.2	1.399999976158142
16.3	1.3833332061767578
16.4	1.3666667938232422
16.5	1.433333396911621
16.6	1.0166667699813843
16.7	0.8666667342185974
16.8	0.8000001311302185
16.9	0.9333335757255554
17.0	0.6000000834465027
17.1	-0.19999997317790985
17.2	-0.13333337008953094
17.3	-0.33333316445350647
17.4	0.03333330154418945
17.5	0.08333341032266617
17.6	-0.4500000476837158
17.7	-0.30000004172325134
17.8	-0.44999995827674866
17.9	-0.2999999523162842
18.0	-0.4666667878627777
18.1	-0.4666665494441986
18.2	-0.4500000476837158
18.3	-0.4166666567325592
18.4	-0.299999862909317
18.5	-0.4499998986721039
18.6	-1.2499998807907104
18.7	-1.1166667938232422
18.8	-1.283333420753479
18.9	-1.2833333015441895
19.0	-1.6166667938232422
19.1	-1.2333332300186157
19.2	-1.100000023841858
19.3	-1.5166666507720947
19.4	-1.2166666984558105
19.5	-1.1333333253860474
19.6	-0.13333328068256378
19.7	-1.2166666984558105
19.8	-1.7666667699813843
19.9	-1.283333420753479
20.0	-1.5499998331069946
20.1	-1.8000000715255737
20.2	-1.716666579246521
20.3	-1.6833332777023315
20.4	-1.9500001668930054
20.5	-1.6000001430511475
20.6	-2.2833333015441895
20.7	-2.133333206176758
20.8	-2.1666667461395264
20.9	-2.016666889190674
21.0	-2.200000286102295
21.1	-2.0999999046325684
21.2	-2.3000001907348633
21.3	-2.0333333015441895
21.4	-2.2833333015441895
21.5	-2.2333333492279053
21.6	-2.4833333492279053
21.7	-2.366666555404663
21.8	-2.1500000953674316
21.9	-2.5166666507720947
22.0	-2.3333332538604736
