Age	Alleniella/Pleurozium/Loeskeobryum/Scorpidium	Amphidium lapponicum/Kiaeria spp	Andreaea blyttii	Andreaea nivalis	Andreaea rupestris	Arctoa fulvella	Aulacomnium palustre	Bartramiaceae	Blindia acuta	Bryanae	Bucklandiella microcarpa/Grimmia hartmanii	Dicranella	Dicranodontium denudatum	Dicranum	Dicranum spurium/scoparium	Dicranum/Paraleucobryum	Dicranum/Paraleucobryum/Orthodicranum	Diplophyllum taxifolium	Encalypta alpina	Encalypta longicollis/streptocarpa/rhaptocarpa	Fissidens bryoides	Fissidens/Dilutineuron	Frullania/Marsupella/Syzygiella/Ptilidium 	Grimmia ovalis	Grimmia ramondii	Grimmia/Codriophorus/Dichodontium/Racomitrium heterostichum	Grimmiaceae	Gymnomitrion concinnatum/obtusum	Hygrobiella laxifolia	Hylocomiastrum/Campylophyllum/Orthothecium/Platyhypnum alpestre	Hylocomium splendens	Hypnales_1	Hypnales_2	Kiaeria glacialis	Lophozia/Lophoziopsis/Scapania	Mielichhoferia mielichhoferiana	Mnium/Pseudobryum	Niphotrichum canescens	Niphotrichum panschii/canescens	Pellia neesiana/epiphylla	Plagiothecium denticulatum	Pogonatum dentatum/Oligotrichum hercynicum	Pohlia wahlenbergii/Pohlia nutans	Polytrichastrum/Polytrichum/Psilopilum/Pogonatum	Porella/Nardia	Pseudohygrohypnum/Hygrohypnella	Ptychostomum/Rosulabryum/Bryum	Ptychostomum/Rosulabryum/Plagiobryum demissum	Racomitrium lanuginosum	Racomitrium lanuginosum/Saelania glaucescens	Rhabdoweisia/Dicranoweisia/Oncophorus/Cnestrum schisti	Sanionia uncinata	Scapania spp/Douinia ovata	Scapania undulata	Sciuro-hypnum starkei/reflexum	Solenostoma obovatum	Sphagnum magellanicum	Sphagnum russowii	Timmia norvegica/austriaca	Tritomaria/Barbilophozia/Anastrepta/Harpanthus/Tetralophozia	Diphasiastrum/Lycopodium	Huperzia	Andromeda polifolia	Arctous alpina	Calluna vulgaris	Cassiope tetragona	Diapensia lapponica	Dryas octopetala	Empetrum nigrum	Harrimanella hypnoides	Kalmia procumbens	Phyllodoce caerulea	Vaccinium myrtillus	Vaccinium uliginosum	Vaccinium vitis-idaea	Athyrium	Athyrium distentifolium	Botrychium	Cryptogramma crispa	Cystopteris fragilis	Cystopteris/Gymnocarpium	Dryopteris	Gymnocarpium	Matteuccia struthiopteris	Phegopteris connectilis	Polypodium vulgare	Polystichum lonchitis	Pteridium aquilinum subsp. latiusculum	Thelypteris palustris	Woodsia alpina/glabella	Woodsia ilvensis	Alchemilla	Alchemilla alpina	Angelica archangelica	Angelica sylvestris	Antennaria spp./Gnaphalium supinum/Filago arvensis	Anthemideae_cf_Achillea_millefolium/Tanacetum_vulgare	Arabis cf alpina	Asteraceae2	Asteraceae3	Asteroideae	Asteroideae_cf_Omalotheca	Bartsia alpina	Bistorta vivipara	Campanula1	Cardamine	Carduinae	Cerastium	Chamaenerion angustifolium	Comarum palustre	Cornus suecica	Crepis spp/Lapsana communis	Epilobium	Euphrasia	Filipendula ulmaria	Geranium sylvaticum	Geum	Melampyrum cf pratense	Micranthes hieraciifolia/nivalis/tenuis	Micranthes stellaris	Myosotis arvensis	Orchidinae	Oxyria digyna	Pedicularis cf hirsuta	Pedicularis lapponica	Pinguicula alpina	Potentilla	Potentilla erecta	Pyrola minor/media	Pyrola rotundifolia/grandiflora	Ranunculus acris/subborealis	Ranunculus glacialis/hyperboreus	Ranunculus nivalis	Ranunculus pygmaeus	Rhinanthus	Rhodiola rosea	Rosoideae	Rubus/Fragaria	Rumex	Sagina	Saussurea alpina/Lactuca sibirica	Saxifraga aizoides/oppositifolia	Saxifraga cernua	Saxifraga cernua/rivularis	Saxifraga cespitosa	Saxifraga cotyledon/paniculata	Saxifraga oppositifolia	Scorzoneroides autumnalis	Sibbaldia 	Sibbaldia procumbens1	Silene acaulis	Solidago	Thalictrum	Tofieldia pusilla	Trientalis europaea	Tripleurospermum maritimum	Trollius europaeus	Veronica cf. fruticans	Veronica scutellata/alpina	Vicia	Viola biflora	Viola epipsila	Agrostis spp/Calamagrostis spp	Alopecurus/Phleum	Anthoxanthum	Avenella flexuosa	Carex	Carex lachenalii	Carex vaginata	Catabrosa aquatica/Poa annua	Deschampsia	Eriophorum/Trichophorum cespitosum	Festuca spp/Lolium 	Juncus arcticus/balticus/filiformis	Juncus biglumis	Luzula confusa/wahlenbergii/arcuata	Luzula parviflora/luzuloides	Luzula sudetica/multiflora/spicata	Nardus stricta	Oreojuncus trifidus	Poa pratensis/alpina/Anthoxanthum	Pooideae	Trichophorum cespitosum	Equisetum fluviatile/arvense/sylvaticum	Equisetum pratense/palustre	Equisetum scirpoides/variegatum/hyemale	Juniperus communis	Alnus incana	Betula	Populus tremula	Prunus padus	Saliceae	Sorbus aucuparia cf.
17	0	143	0	0	215	50	0	55	17	0	76	6	0	48	0	132	0	0	0	6	0	55	10	0	0	16	197	3	0	59	0	9	0	13	0	0	0	0	17	10	0	21	0	55	7	46	0	0	0	0	12	0	0	0	8	8	0	618	3	80	0	304	0	25	63	0	125	762	14007	0	262	332	5369	1442	306	160	1363	0	3535	0	0	22	238	0	247	0	60	95	14	0	0	0	38	12	4	375	0	0	310	0	3	0	91	1635	6	0	26	0	0	0	22	0	30	0	0	40	0	0	36	22	0	0	2157	4	0	25	0	0	71	0	167	48	0	0	0	0	0	0	144	0	363	38	138	32	0	0	490	16	0	0	11	69	11	0	0	0	0	0	375	0	6	0	4	0	0	46	77	0	0	0	18	15	16	7	0	5	0	31	0	57	4	0	0	102	0	0	86	3	1615	0	0	77610	39
105	0	141	14	0	204	11	0	115	9	0	82	3	15	0	25	0	0	0	0	9	0	30	10	0	0	7	146	0	5	18	0	3	0	24	10	0	0	0	557	0	0	57	0	218	27	78	62	0	9	0	15	0	0	0	6	3	0	11	0	109	120	0	12	80	7	0	68	318	6818	3	109	283	2858	1707	352	113	1194	0	18	0	0	26	115	0	279	0	0	0	3	0	0	27	37	36	0	4457	0	0	195	0	14	0	59	737	0	0	125	0	0	0	7	0	17	42	0	33	0	0	71	7	0	0	1141	0	0	0	0	0	12	0	373	341	0	4	0	179	0	10	38	0	423	57	99	0	0	0	200	29	11	0	17	89	49	4	64	0	9	0	885	0	7	0	0	0	0	82	100	8	0	0	21	0	50	22	9	0	0	28	0	27	44	0	0	89	8	0	104	9	571	0	0	106038	40
234	0	43	0	0	56	14	0	41	0	0	13	0	3	5	8	0	0	0	0	0	0	57	3	0	0	0	55	0	0	9	0	3	0	0	0	3	0	0	0	0	0	13	0	152	6	0	0	0	0	0	0	7	0	0	0	0	0	43	0	32	0	0	8	15	38	0	77	236	122522	3	157	373	2365	2707	185	3	1525	0	0	0	0	0	139	0	390	0	15	0	0	0	0	90	0	92	0	835	0	3	269	53	0	56	244	799	8	0	97	0	0	45	15	11	31	13	20	80	0	0	3	0	0	0	1197	0	0	0	0	0	85	0	366	68	0	0	0	21	4	27	163	10	1270	40	0	4	0	0	171	16	0	0	0	420	26	0	0	0	91	0	355	0	0	0	0	11	11	98	188	0	0	4	0	0	4	14	3	19	0	37	3	16	0	0	0	58	9	0	56	9	7838	0	0	71538	73
365	0	28	13	3	16	4	0	14	3	0	14	0	0	8	0	0	4	0	0	0	0	8	0	0	0	0	21	8	0	4	0	0	0	0	0	0	0	0	5	0	0	6	0	69	3	3	0	0	0	6	0	0	0	0	0	0	0	14	0	30	0	4	10	23	3	0	32	385	9546	3	90	235	2638	2350	443	0	3456	0	8	0	7	0	81	0	213	5	0	0	0	0	0	31	0	126	0	227	0	0	62	66	0	71	124	270	0	4	91	5	0	0	0	0	0	19	0	3	0	0	11	0	0	0	1552	0	0	0	0	0	30	0	31	61	0	3	0	0	0	0	136	0	621	21	10	0	0	0	83	0	0	0	14	132	19	0	0	0	28	0	166	0	0	0	0	11	10	23	3	0	0	0	0	0	27	0	4	14	0	0	0	14	0	0	0	12	0	0	1975	0	1516	0	0	63554	155
519	0	38	0	0	262	11	0	16	9	5	23	0	0	16	0	13	0	0	0	0	0	12	4	0	0	23	168	10	0	90	0	0	10	0	6	3	0	0	14	0	0	43	7	222	22	23	0	0	0	353	0	0	3	4	0	0	0	13	0	82	8	0	94	139	0	0	189	729	12930	0	142	431	3905	3097	435	63	1426	0	12	0	0	10	34	0	13	0	0	0	0	0	0	35	17	856	0	215	0	0	386	124	0	25	313	1023	0	0	179	0	0	39	0	0	0	4	359	37	0	0	40	0	0	0	2806	52	0	0	0	6	45	0	290	366	0	0	0	29	0	0	134	0	1683	261	0	62	0	0	1174	0	0	7	0	948	19	0	0	4	89	0	368	0	0	0	0	0	0	18	81	0	0	0	0	0	40	0	0	0	9	14	13	103	20	0	0	93	15	3	327	0	3377	0	0	130217	330
646	0	135	11	13	138	118	0	14	3	0	75	0	6	5	0	11	0	12	0	0	0	48	7	0	0	3	34	13	4	6	0	0	0	16	16	7	0	0	45	19	0	120	0	420	27	14	0	0	0	15	3	0	3	0	4	4	0	133	0	164	387	23	12	44	23	0	66	424	7517	11	72	172	2462	1864	217	0	6127	0	0	0	0	16	208	0	55	0	0	0	4	0	0	253	0	375	0	267	0	0	660	68	0	80	319	1029	9	42	252	0	0	0	0	0	3	23	8	15	13	0	15	50	44	0	6670	6	0	0	0	0	33	0	385	502	3	3	0	46	0	0	676	0	1656	17	0	9	0	0	286	0	35	15	79	578	60	5	0	0	80	0	571	0	0	0	0	0	3	14	115	0	0	0	0	6	90	0	0	34	0	0	0	62	0	0	5	72	3	0	225	0	1290	0	0	137171	165
783	0	3	0	0	98	9	0	16	6	0	46	0	6	0	40	13	0	0	0	6	0	0	6	0	0	11	88	17	3	22	3	8	0	0	0	0	0	0	17	0	0	0	3	5323	12	9	0	0	0	6	0	0	0	0	0	0	0	9	0	40	24	0	21	44	17	0	66	400	10900	3	68	296	7611	4274	254	18	5018	0	20	0	0	759	125	0	201	0	0	0	5	0	0	56	14	435	0	230	0	0	442	28	0	19	462	882	10	0	121	0	0	19	63	0	0	13	15	0	0	0	22	0	0	0	1755	7	0	3	0	0	54	0	253	158	4	3	0	21	0	0	252	0	3495	51	0	6	0	0	270	0	0	0	16	376	9	0	0	0	167	0	304	0	21	0	0	0	0	10	35	0	0	0	0	4	50	0	0	40	0	17	0	174	82	53	0	68	0	0	129	0	3991	0	0	134977	508
963	0	52	11	0	322	9	0	5	0	0	151	0	0	0	18028	0	0	0	0	0	0	0	16	0	0	16	64	0	20	11	0	346	0	0	10	0	0	0	0	0	0	30	0	62	9	25	0	0	0	0	3	0	0	0	0	0	0	68	0	7	44	0	36	0	68	0	216	2750	17393	0	354	265	4215	4161	684	172	2734	0	18	0	0	23	21	0	71	0	0	0	0	0	0	26	0	191	0	56	0	0	206	17	0	45	975	1719	0	0	133	0	0	0	31	15	0	0	13	0	0	0	17	0	0	0	605	0	0	0	0	0	14	0	323	162	0	0	0	16	0	0	40	0	848	19	8	0	0	0	202	0	0	0	9	408	11	0	0	0	48	0	55	0	0	0	0	0	0	18	21	0	0	0	0	0	19	0	0	0	0	0	0	42	1123	19	3	30	11	4	184	19	6663	0	0	141449	153
1200	0	49	21	0	758	0	0	5	15	4	69	0	0	4	6	7	4	0	0	0	0	11	3	0	0	45	86	0	0	3	0	7	0	11	0	0	0	0	15	0	0	30	0	122	6	4	0	0	0	8	0	0	3	0	3	0	11	17	0	54	243	0	13	15	0	0	50	1067	13606	3	224	227	4331	5290	462	0	860	0	0	0	0	9	208	0	467	0	67	0	6	0	0	26	0	124	0	99	0	0	392	80	0	77	182	475	0	3	166	0	0	0	0	0	0	3	0	0	0	0	9	0	0	0	824	227	9	0	0	0	27	0	116	166	0	0	0	11	7	52	87	0	1904	10	0	9	0	0	1308	0	0	4	85	179	0	4	3	0	37	0	279	0	0	0	0	0	0	0	24	0	0	0	0	14	0	0	13	32	0	0	0	22	0	0	0	81	0	0	237	31	10510	6	0	91336	369
1435	0	0	0	0	102	0	0	3	0	0	3	0	0	0	0	21	0	0	0	0	0	4	0	0	0	0	17	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	113	0	0	3	0	0	16	210	5924	0	92	108	1796	1586	3220	15	1659	0	6	0	0	15	3	0	64	0	0	0	0	0	0	22	0	13	0	15	0	0	44	3	0	7	108	213	0	0	38	0	0	0	7	0	0	0	0	0	0	0	35	0	0	0	3301	0	0	0	0	0	3	0	120	5	0	15	0	0	6	77	22	0	228	10	0	0	0	0	29	0	0	0	0	216	0	0	0	0	32	0	39	0	0	0	0	0	0	5	6	0	0	0	0	0	0	0	0	4	0	0	0	22	0	0	0	39	0	0	63	0	3855	0	0	148620	42
1600	0	7	14	0	27	0	0	7	12	0	21	0	0	0	6	14	0	6	0	22	0	7	3	6	0	25	30	0	7	9	0	1017	0	11	0	0	0	0	0	0	0	14	0	48	0	16	5	0	0	0	0	7	0	6	0	0	0	14	0	20	56	0	4	7	318	0	27	12624	14768	0	180	407	4814	5187	208	39	125	0	5	0	0	176	18	0	146	0	0	0	0	0	0	114	0	352	0	46	0	0	281	9	18	8	385	3159	0	0	74	0	0	10	0	0	6	45	10	7	0	0	63	3	5	0	1196	0	0	0	0	0	32	0	65	52	0	0	0	19	0	0	1083	0	672	10	0	4	0	0	274	0	0	0	9	152	9	0	0	0	28	0	99	0	0	0	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	4	0	100	0	0	0	3	9	0	164	39	5858	0	0	158884	970
1823	0	7	0	0	99	0	0	17	7	0	20	0	5	0	17	0	0	0	0	7	0	29	3	0	0	11	37	0	0	0	0	242	3	0	0	0	0	0	3	0	0	7	0	69	0	3	0	3	0	4	0	0	0	0	0	0	0	0	3	36	0	0	12	16	0	5	6	422	49989	0	245	209	6404	9448	456	344	562	0	5	8	0	83	269	0	234	0	0	0	9	0	0	47	0	296	0	337	0	0	109	23	0	25	3428	739	3	0	101	0	0	17	10	0	0	7	0	4	0	0	129	0	0	0	2097	3	0	0	0	0	26	0	191	57	0	0	0	4	0	3	291	0	2229	11	0	15	0	0	194	0	4	0	0	189	39	0	0	0	73	0	255	113	0	0	0	0	0	15	35	0	0	0	0	0	6	0	0	25	0	0	0	23	0	0	0	33	0	0	110	0	6956	0	0	140087	484
2071	0	0	0	0	43	4	0	37	0	0	41	0	0	0	171	10	0	0	29	0	0	18	0	0	0	0	327	0	0	0	0	258	127	0	0	0	0	0	0	0	0	9	0	6	4	5	0	0	0	0	0	0	0	0	3	0	13	0	0	35	0	0	0	4	0	0	23	1521	7057	0	145	129	7896	3075	367	595	187	0	13	0	0	189	6807	0	208	0	10	0	76	0	0	62	0	342	0	66	0	0	26	42	0	0	452	340	0	0	46	0	0	6	17	0	0	23	0	3	0	0	29	0	0	0	437	28	0	0	0	0	3	0	86	17	0	0	0	3	0	0	29	0	659	11	0	0	0	0	64	0	0	0	6	106	3	0	0	0	72	0	78	0	0	0	0	0	0	14	11	0	0	0	0	0	0	0	0	0	0	11	0	139	5	0	0	51	15	0	101	0	1569	0	0	150992	106
